Barangay,TOTAL,YEAR,Month,Value
Camantiles,29,2023,JUN,1
Casantaan,2,2023,JUN,0
Catablan,46,2023,JUN,1
Cayambanan,44,2023,JUN,3
Consolacion,2,2023,JUN,0
Dilan-Paurido,30,2023,JUN,4
Labit Proper,11,2023,JUN,1
Labit West,7,2023,JUN,0
Mabanogbog,2,2023,JUN,0
Macalong,2,2023,JUN,0
Nancalobasaan,16,2023,JUN,1
Nancamaliran East,42,2023,JUN,2
Nancamaliran West,22,2023,JUN,2
Nancayasan,127,2023,JUN,14
Oltama,2,2023,JUN,0
Palina East,10,2023,JUN,0
Palina West,6,2023,JUN,1
P.T. Orata,12,2023,JUN,0
Pinmaludpod,57,2023,JUN,1
Poblacion,108,2023,JUN,10
San Jose,22,2023,JUN,0
San Vicente,91,2023,JUN,12
Sta. Lucia,16,2023,JUN,2
Sto. Domingo,19,2023,JUN,1
Sugcong,3,2023,JUN,0
Tipuso,1,2023,JUN,0
Tulong,10,2023,JUN,2
BYPASS,145,2023,JUN,6
TOTAL,1001,2023,JUN,69
ANONAS,24,2024,JUN,1
BACTAD EAST,9,2024,JUN,1
BAYAOAS,26,2024,JUN,1
BOLAOEN,4,2024,JUN,0
CABARUAN,13,2024,JUN,2
CABULOAN,12,2024,JUN,2
CAMANANG,12,2024,JUN,0
CAMANTILES,37,2024,JUN,4
CASANTAAN,1,2024,JUN,0
CATABLAN,40,2024,JUN,3
CAYAMBANAN,31,2024,JUN,1
CONSOLACION,1,2024,JUN,0
DILAN-PAURIDO,24,2024,JUN,3
LABIT PROPER,8,2024,JUN,2
LABIT WEST,2,2024,JUN,0
MABANOGBOG,10,2024,JUN,1
MACALONG,0,2024,JUN,0
NANCALOBASAAN,20,2024,JUN,3
NANCAMALIRAN EAST,48,2024,JUN,4
NANCAMALIRAN WEST,14,2024,JUN,3
NANCAYASAN,137,2024,JUN,14
OLTAMA,2,2024,JUN,0
PALINA EAST,27,2024,JUN,1
PALINA WEST,20,2024,JUN,0
PT ORATA,9,2024,JUN,0
PINMALUDPOD,46,2024,JUN,5
POBLACION,99,2024,JUN,6
SAN JOSE,23,2024,JUN,1
SAN VICENTE,104,2024,JUN,7
STA. LUCIA,29,2024,JUN,1
STO. DOMINGO,21,2024,JUN,2
SUGCONG,3,2024,JUN,0
TIPUSO,1,2024,JUN,0
TULONG,10,2024,JUN,2
BYPASS-NANCAYASAN,107,2024,JUN,5
TOTAL,974,2024,JUN,75
ANONAS,30,2025,JUN,1
BACTAD EAST,10,2025,JUN,0
BAYAOAS,16,2025,JUN,2
BOLAOEN,1,2025,JUN,0
CABARUAN,5,2025,JUN,0
CABULOAN,30,2025,JUN,2
CAMANANG,13,2025,JUN,1
CAMANTILES,27,2025,JUN,1
CASANTAAN,1,2025,JUN,0
CATABLAN,21,2025,JUN,2
CAYAMBANAN,25,2025,JUN,1
CONSOLACION,1,2025,JUN,0
DILAN-PAURIDO,17,2025,JUN,2
LABIT PROPER,20,2025,JUN,1
LABIT WEST,1,2025,JUN,0
MABANOGBOG,14,2025,JUN,0
MACALONG,1,2025,JUN,0
NANCALOBASAAN,19,2025,JUN,1
NANCAMALIRAN EAST,44,2025,JUN,2
NANCAMALIRAN WEST,19,2025,JUN,3
NANCAYASAN,114,2025,JUN,5
OLTAMA,2,2025,JUN,0
PALINA EAST,17,2025,JUN,1
PALINA WEST,3,2025,JUN,1
PT ORATA,10,2025,JUN,1
PINMALUDPOD,50,2025,JUN,2
POBLACION,110,2025,JUN,10
SAN JOSE,15,2025,JUN,4
SAN VICENTE,103,2025,JUN,6
STA. LUCIA,13,2025,JUN,0
STO. DOMINGO,18,2025,JUN,2
SUGCONG,1,2025,JUN,0
TIPUSO,1,2025,JUN,0
TULONG,7,2025,JUN,1
BYPASS,114,2025,JUN,9
TOTAL,893,2025,JUN,61
Anonas,43,2022,JUL,8
Bactad East,14,2022,JUL,0
Bayaoas,22,2022,JUL,1
Bolaoen,1,2022,JUL,0
Cabaruan,1,2022,JUL,0
Cabuloan,8,2022,JUL,1
Camanang,11,2022,JUL,1
Camantiles,24,2022,JUL,2
Casantaan,2,2022,JUL,0
Catablan,20,2022,JUL,7
Cayambanan,30,2022,JUL,1
Consolacion,1,2022,JUL,0
Dilan-Paurido,9,2022,JUL,0
Labit Proper,10,2022,JUL,2
Labit West,4,2022,JUL,0
Mabanogbog,3,2022,JUL,0
Macalong,1,2022,JUL,0
Nancalobasaan,18,2022,JUL,2
Nancamaliran East,34,2022,JUL,1
Nancamaliran West,13,2022,JUL,2
Nancayasan,126,2022,JUL,17
Oltama,4,2022,JUL,0
Palina East,14,2022,JUL,2
Palina West,4,2022,JUL,0
P.T. Orata,12,2022,JUL,1
Pinmaludpod,49,2022,JUL,4
Poblacion,91,2022,JUL,11
San Jose,24,2022,JUL,3
San Vicente,85,2022,JUL,11
Sta. Lucia,9,2022,JUL,0
Sto. Domingo,5,2022,JUL,0
Sugcong,0,2022,JUL,0
Tipuso,1,2022,JUL,0
Tulong,8,2022,JUL,2
BYPASS,76,2022,JUL,4
TOTAL,777,2022,JUL,83
Anonas,41,2023,JUL,3
Bactad East,17,2023,JUL,2
Bayaoas,24,2023,JUL,5
Bolaoen,1,2023,JUL,0
Cabaruan,1,2023,JUL,0
Cabuloan,22,2023,JUL,2
Camanang,11,2023,JUL,0
Camantiles,29,2023,JUL,1
Casantaan,2,2023,JUL,0
Catablan,46,2023,JUL,3
Cayambanan,44,2023,JUL,5
Consolacion,2,2023,JUL,0
Dilan-Paurido,30,2023,JUL,1
Labit Proper,11,2023,JUL,0
Labit West,7,2023,JUL,0
Mabanogbog,2,2023,JUL,0
Macalong,2,2023,JUL,1
Nancalobasaan,16,2023,JUL,2
Nancamaliran East,42,2023,JUL,1
Nancamaliran West,22,2023,JUL,2
Nancayasan,127,2023,JUL,13
Oltama,2,2023,JUL,0
Palina East,10,2023,JUL,1
Palina West,6,2023,JUL,1
P.T. Orata,12,2023,JUL,0
Pinmaludpod,57,2023,JUL,5
Poblacion,108,2023,JUL,10
San Jose,22,2023,JUL,1
San Vicente,91,2023,JUL,11
Sta. Lucia,16,2023,JUL,1
Sto. Domingo,19,2023,JUL,2
Sugcong,3,2023,JUL,0
Tipuso,1,2023,JUL,0
Tulong,10,2023,JUL,2
BYPASS,145,2023,JUL,8
TOTAL,1001,2023,JUL,83
ANONAS,24,2024,JUL,2
BACTAD EAST,9,2024,JUL,0
BAYAOAS,26,2024,JUL,0
BOLAOEN,4,2024,JUL,0
CABARUAN,13,2024,JUL,0
CABULOAN,12,2024,JUL,1
CAMANANG,12,2024,JUL,2
CAMANTILES,37,2024,JUL,2
CASANTAAN,1,2024,JUL,0
CATABLAN,40,2024,JUL,2
CAYAMBANAN,31,2024,JUL,3
CONSOLACION,1,2024,JUL,0
DILAN-PAURIDO,24,2024,JUL,1
LABIT PROPER,8,2024,JUL,1
LABIT WEST,2,2024,JUL,0
MABANOGBOG,10,2024,JUL,1
MACALONG,0,2024,JUL,0
NANCALOBASAAN,20,2024,JUL,2
NANCAMALIRAN EAST,48,2024,JUL,4
NANCAMALIRAN WEST,14,2024,JUL,0
NANCAYASAN,137,2024,JUL,9
OLTAMA,2,2024,JUL,1
PALINA EAST,27,2024,JUL,1
PALINA WEST,20,2024,JUL,5
PT ORATA,9,2024,JUL,1
PINMALUDPOD,46,2024,JUL,5
POBLACION,99,2024,JUL,7
SAN JOSE,23,2024,JUL,1
SAN VICENTE,104,2024,JUL,10
STA. LUCIA,29,2024,JUL,1
STO. DOMINGO,21,2024,JUL,0
SUGCONG,3,2024,JUL,0
TIPUSO,1,2024,JUL,0
TULONG,10,2024,JUL,1
BYPASS-NANCAYASAN,107,2024,JUL,12
TOTAL,974,2024,JUL,75
ANONAS,30,2025,JUL,2
BACTAD EAST,10,2025,JUL,1
BAYAOAS,16,2025,JUL,0
BOLAOEN,1,2025,JUL,0
CABARUAN,5,2025,JUL,2
CABULOAN,30,2025,JUL,4
CAMANANG,13,2025,JUL,0
CAMANTILES,27,2025,JUL,2
CASANTAAN,1,2025,JUL,0
CATABLAN,21,2025,JUL,2
CAYAMBANAN,25,2025,JUL,5
CONSOLACION,1,2025,JUL,0
DILAN-PAURIDO,17,2025,JUL,0
LABIT PROPER,20,2025,JUL,1
LABIT WEST,1,2025,JUL,0
MABANOGBOG,14,2025,JUL,1
MACALONG,1,2025,JUL,0
NANCALOBASAAN,19,2025,JUL,2
NANCAMALIRAN EAST,44,2025,JUL,2
NANCAMALIRAN WEST,19,2025,JUL,1
NANCAYASAN,114,2025,JUL,9
OLTAMA,2,2025,JUL,0
PALINA EAST,17,2025,JUL,1
PALINA WEST,3,2025,JUL,0
PT ORATA,10,2025,JUL,2
PINMALUDPOD,50,2025,JUL,6
POBLACION,110,2025,JUL,7
SAN JOSE,15,2025,JUL,1
SAN VICENTE,103,2025,JUL,6
STA. LUCIA,13,2025,JUL,1
STO. DOMINGO,18,2025,JUL,1
SUGCONG,1,2025,JUL,0
TIPUSO,1,2025,JUL,0
TULONG,7,2025,JUL,1
BYPASS,114,2025,JUL,11
TOTAL,893,2025,JUL,71
Anonas,43,2022,AUG,1
Bactad East,14,2022,AUG,0
Bayaoas,22,2022,AUG,3
Bolaoen,1,2022,AUG,0
Cabaruan,1,2022,AUG,0
Cabuloan,8,2022,AUG,0
Camanang,11,2022,AUG,2
Camantiles,24,2022,AUG,0
Casantaan,2,2022,AUG,0
Catablan,20,2022,AUG,3
Cayambanan,30,2022,AUG,4
Consolacion,1,2022,AUG,0
Dilan-Paurido,9,2022,AUG,0
Labit Proper,10,2022,AUG,0
Labit West,4,2022,AUG,0
Mabanogbog,3,2022,AUG,0
Macalong,1,2022,AUG,0
Nancalobasaan,18,2022,AUG,2
Nancamaliran East,34,2022,AUG,2
Nancamaliran West,13,2022,AUG,1
Nancayasan,126,2022,AUG,13
Oltama,4,2022,AUG,0
Palina East,14,2022,AUG,1
Palina West,4,2022,AUG,0
P.T. Orata,12,2022,AUG,4
Pinmaludpod,49,2022,AUG,2
Poblacion,91,2022,AUG,5
San Jose,24,2022,AUG,4
San Vicente,85,2022,AUG,7
Sta. Lucia,9,2022,AUG,0
Sto. Domingo,5,2022,AUG,0
Sugcong,0,2022,AUG,0
Tipuso,1,2022,AUG,0
Tulong,8,2022,AUG,0
BYPASS,76,2022,AUG,5
TOTAL,777,2022,AUG,59
Anonas,41,2023,AUG,7
Bactad East,17,2023,AUG,0
Bayaoas,24,2023,AUG,0
Bolaoen,1,2023,AUG,0
Cabaruan,1,2023,AUG,0
Cabuloan,22,2023,AUG,1
Camanang,11,2023,AUG,1
Camantiles,29,2023,AUG,3
Casantaan,2,2023,AUG,0
Catablan,46,2023,AUG,3
Cayambanan,44,2023,AUG,5
Consolacion,2,2023,AUG,0
Dilan-Paurido,30,2023,AUG,0
Labit Proper,11,2023,AUG,0
Labit West,7,2023,AUG,0
Mabanogbog,2,2023,AUG,1
Macalong,2,2023,AUG,0
Nancalobasaan,16,2023,AUG,0
Nancamaliran East,42,2023,AUG,3
Nancamaliran West,22,2023,AUG,0
Nancayasan,127,2023,AUG,7
Oltama,2,2023,AUG,0
Palina East,10,2023,AUG,0
Palina West,6,2023,AUG,2
P.T. Orata,12,2023,AUG,1
Pinmaludpod,57,2023,AUG,5
Poblacion,108,2023,AUG,11
San Jose,22,2023,AUG,1
San Vicente,91,2023,AUG,6
Sta. Lucia,16,2023,AUG,0
Sto. Domingo,19,2023,AUG,3
Sugcong,3,2023,AUG,0
Tipuso,1,2023,AUG,0
Tulong,10,2023,AUG,0
BYPASS,145,2023,AUG,15
TOTAL,1001,2023,AUG,75
ANONAS,24,2024,AUG,0
BACTAD EAST,9,2024,AUG,0
BAYAOAS,26,2024,AUG,2
BOLAOEN,4,2024,AUG,0
CABARUAN,13,2024,AUG,1
CABULOAN,12,2024,AUG,1
CAMANANG,12,2024,AUG,1
CAMANTILES,37,2024,AUG,5
CASANTAAN,1,2024,AUG,0
CATABLAN,40,2024,AUG,3
CAYAMBANAN,31,2024,AUG,1
CONSOLACION,1,2024,AUG,0
DILAN-PAURIDO,24,2024,AUG,3
LABIT PROPER,8,2024,AUG,0
LABIT WEST,2,2024,AUG,0
MABANOGBOG,10,2024,AUG,0
MACALONG,0,2024,AUG,0
NANCALOBASAAN,20,2024,AUG,1
NANCAMALIRAN EAST,48,2024,AUG,7
NANCAMALIRAN WEST,14,2024,AUG,0
NANCAYASAN,137,2024,AUG,11
OLTAMA,2,2024,AUG,0
PALINA EAST,27,2024,AUG,3
PALINA WEST,20,2024,AUG,1
PT ORATA,9,2024,AUG,1
PINMALUDPOD,46,2024,AUG,2
POBLACION,99,2024,AUG,4
SAN JOSE,23,2024,AUG,2
SAN VICENTE,104,2024,AUG,9
STA. LUCIA,29,2024,AUG,3
STO. DOMINGO,21,2024,AUG,2
SUGCONG,3,2024,AUG,0
TIPUSO,1,2024,AUG,0
TULONG,10,2024,AUG,0
BYPASS-NANCAYASAN,107,2024,AUG,9
TOTAL,974,2024,AUG,72
ANONAS,30,2025,AUG,1
BACTAD EAST,10,2025,AUG,1
BAYAOAS,16,2025,AUG,5
BOLAOEN,1,2025,AUG,0
CABARUAN,5,2025,AUG,0
CABULOAN,30,2025,AUG,1
CAMANANG,13,2025,AUG,0
CAMANTILES,27,2025,AUG,0
CASANTAAN,1,2025,AUG,0
CATABLAN,21,2025,AUG,1
CAYAMBANAN,25,2025,AUG,4
CONSOLACION,1,2025,AUG,0
DILAN-PAURIDO,17,2025,AUG,2
LABIT PROPER,20,2025,AUG,0
LABIT WEST,1,2025,AUG,0
MABANOGBOG,14,2025,AUG,0
MACALONG,1,2025,AUG,0
NANCALOBASAAN,19,2025,AUG,2
NANCAMALIRAN EAST,44,2025,AUG,6
NANCAMALIRAN WEST,19,2025,AUG,1
NANCAYASAN,114,2025,AUG,14
OLTAMA,2,2025,AUG,0
PALINA EAST,17,2025,AUG,1
PALINA WEST,3,2025,AUG,0
PT ORATA,10,2025,AUG,0
PINMALUDPOD,50,2025,AUG,5
POBLACION,110,2025,AUG,8
SAN JOSE,15,2025,AUG,1
SAN VICENTE,103,2025,AUG,3
STA. LUCIA,13,2025,AUG,1
STO. DOMINGO,18,2025,AUG,1
SUGCONG,1,2025,AUG,0
TIPUSO,1,2025,AUG,1
TULONG,7,2025,AUG,1
BYPASS,114,2025,AUG,15
TOTAL,893,2025,AUG,75
Anonas,43,2022,SEP,5
Bactad East,14,2022,SEP,1
Bayaoas,22,2022,SEP,4
Bolaoen,1,2022,SEP,0
Cabaruan,1,2022,SEP,0
Cabuloan,8,2022,SEP,1
Camanang,11,2022,SEP,2
Camantiles,24,2022,SEP,1
Casantaan,2,2022,SEP,0
Catablan,20,2022,SEP,0
Cayambanan,30,2022,SEP,1
Consolacion,1,2022,SEP,0
Dilan-Paurido,9,2022,SEP,0
Labit Proper,10,2022,SEP,0
Labit West,4,2022,SEP,0
Mabanogbog,3,2022,SEP,1
Macalong,1,2022,SEP,0
Nancalobasaan,18,2022,SEP,0
Nancamaliran East,34,2022,SEP,4
Nancamaliran West,13,2022,SEP,0
Nancayasan,126,2022,SEP,9
Oltama,4,2022,SEP,0
Palina East,14,2022,SEP,0
Palina West,4,2022,SEP,0
P.T. Orata,12,2022,SEP,1
Pinmaludpod,49,2022,SEP,1
Poblacion,91,2022,SEP,9
San Jose,24,2022,SEP,1
San Vicente,85,2022,SEP,4
Sta. Lucia,9,2022,SEP,0
Sto. Domingo,5,2022,SEP,0
Sugcong,0,2022,SEP,0
Tipuso,1,2022,SEP,0
Tulong,8,2022,SEP,0
BYPASS,76,2022,SEP,5
TOTAL,777,2022,SEP,50
Anonas,41,2023,SEP,2
Bactad East,17,2023,SEP,1
Bayaoas,24,2023,SEP,1
Bolaoen,1,2023,SEP,1
Cabaruan,1,2023,SEP,0
Cabuloan,22,2023,SEP,1
Camanang,11,2023,SEP,1
Camantiles,29,2023,SEP,4
Casantaan,2,2023,SEP,0
Catablan,46,2023,SEP,6
Cayambanan,44,2023,SEP,5
Consolacion,2,2023,SEP,0
Dilan-Paurido,30,2023,SEP,2
Labit Proper,11,2023,SEP,0
Labit West,7,2023,SEP,0
Mabanogbog,2,2023,SEP,0
Macalong,2,2023,SEP,0
Nancalobasaan,16,2023,SEP,0
Nancamaliran East,42,2023,SEP,2
Nancamaliran West,22,2023,SEP,2
Nancayasan,127,2023,SEP,9
Oltama,2,2023,SEP,0
Palina East,10,2023,SEP,1
Palina West,6,2023,SEP,0
P.T. Orata,12,2023,SEP,1
Pinmaludpod,57,2023,SEP,8
Poblacion,108,2023,SEP,7
San Jose,22,2023,SEP,0
San Vicente,91,2023,SEP,6
Sta. Lucia,16,2023,SEP,0
Sto. Domingo,19,2023,SEP,2
Sugcong,3,2023,SEP,0
Tipuso,1,2023,SEP,0
Tulong,10,2023,SEP,1
BYPASS,145,2023,SEP,13
TOTAL,1001,2023,SEP,76
ANONAS,24,2024,SEP,3
BACTAD EAST,9,2024,SEP,0
BAYAOAS,26,2024,SEP,2
BOLAOEN,4,2024,SEP,1
CABARUAN,13,2024,SEP,3
CABULOAN,12,2024,SEP,2
CAMANANG,12,2024,SEP,2
CAMANTILES,37,2024,SEP,3
CASANTAAN,1,2024,SEP,0
CATABLAN,40,2024,SEP,1
CAYAMBANAN,31,2024,SEP,1
CONSOLACION,1,2024,SEP,0
DILAN-PAURIDO,24,2024,SEP,0
LABIT PROPER,8,2024,SEP,0
LABIT WEST,2,2024,SEP,0
MABANOGBOG,10,2024,SEP,1
MACALONG,0,2024,SEP,0
NANCALOBASAAN,20,2024,SEP,0
NANCAMALIRAN EAST,48,2024,SEP,1
NANCAMALIRAN WEST,14,2024,SEP,1
NANCAYASAN,137,2024,SEP,9
OLTAMA,2,2024,SEP,1
PALINA EAST,27,2024,SEP,1
PALINA WEST,20,2024,SEP,2
PT ORATA,9,2024,SEP,1
PINMALUDPOD,46,2024,SEP,2
POBLACION,99,2024,SEP,14
SAN JOSE,23,2024,SEP,2
SAN VICENTE,104,2024,SEP,6
STA. LUCIA,29,2024,SEP,2
STO. DOMINGO,21,2024,SEP,1
SUGCONG,3,2024,SEP,0
TIPUSO,1,2024,SEP,0
TULONG,10,2024,SEP,2
BYPASS-NANCAYASAN,107,2024,SEP,5
TOTAL,974,2024,SEP,69
ANONAS,30,2025,SEP,4
BACTAD EAST,10,2025,SEP,0
BAYAOAS,16,2025,SEP,1
BOLAOEN,1,2025,SEP,1
CABARUAN,5,2025,SEP,1
CABULOAN,30,2025,SEP,0
CAMANANG,13,2025,SEP,1
CAMANTILES,27,2025,SEP,3
CASANTAAN,1,2025,SEP,0
CATABLAN,21,2025,SEP,2
CAYAMBANAN,25,2025,SEP,2
CONSOLACION,1,2025,SEP,0
DILAN-PAURIDO,17,2025,SEP,1
LABIT PROPER,20,2025,SEP,2
LABIT WEST,1,2025,SEP,0
MABANOGBOG,14,2025,SEP,1
MACALONG,1,2025,SEP,0
NANCALOBASAAN,19,2025,SEP,5
NANCAMALIRAN EAST,44,2025,SEP,5
NANCAMALIRAN WEST,19,2025,SEP,1
NANCAYASAN,114,2025,SEP,5
OLTAMA,2,2025,SEP,0
PALINA EAST,17,2025,SEP,0
PALINA WEST,3,2025,SEP,0
PT ORATA,10,2025,SEP,0
PINMALUDPOD,50,2025,SEP,4
POBLACION,110,2025,SEP,10
SAN JOSE,15,2025,SEP,1
SAN VICENTE,103,2025,SEP,20
STA. LUCIA,13,2025,SEP,0
STO. DOMINGO,18,2025,SEP,1
SUGCONG,1,2025,SEP,0
TIPUSO,1,2025,SEP,0
TULONG,7,2025,SEP,0
BYPASS,114,2025,SEP,13
TOTAL,893,2025,SEP,84
Anonas,43,2022,OCT,3
Bactad East,14,2022,OCT,2
Bayaoas,22,2022,OCT,2
Bolaoen,1,2022,OCT,0
Cabaruan,1,2022,OCT,0
Cabuloan,8,2022,OCT,1
Camanang,11,2022,OCT,4
Camantiles,24,2022,OCT,2
Casantaan,2,2022,OCT,0
Catablan,20,2022,OCT,2
Cayambanan,30,2022,OCT,6
Consolacion,1,2022,OCT,1
Dilan-Paurido,9,2022,OCT,1
Labit Proper,10,2022,OCT,1
Labit West,4,2022,OCT,1
Mabanogbog,3,2022,OCT,0
Macalong,1,2022,OCT,0
Nancalobasaan,18,2022,OCT,2
Nancamaliran East,34,2022,OCT,2
Nancamaliran West,13,2022,OCT,0
Nancayasan,126,2022,OCT,12
Oltama,4,2022,OCT,0
Palina East,14,2022,OCT,3
Palina West,4,2022,OCT,0
P.T. Orata,12,2022,OCT,0
Pinmaludpod,49,2022,OCT,5
Poblacion,91,2022,OCT,3
San Jose,24,2022,OCT,2
San Vicente,85,2022,OCT,8
Sta. Lucia,9,2022,OCT,2
Sto. Domingo,5,2022,OCT,1
Sugcong,0,2022,OCT,0
Tipuso,1,2022,OCT,0
Tulong,8,2022,OCT,1
BYPASS,76,2022,OCT,10
TOTAL,777,2022,OCT,77
Anonas,41,2023,OCT,3
Bactad East,17,2023,OCT,0
Bayaoas,24,2023,OCT,2
Bolaoen,1,2023,OCT,0
Cabaruan,1,2023,OCT,0
Cabuloan,22,2023,OCT,4
Camanang,11,2023,OCT,3
Camantiles,29,2023,OCT,2
Casantaan,2,2023,OCT,0
Catablan,46,2023,OCT,1
Cayambanan,44,2023,OCT,3
Consolacion,2,2023,OCT,0
Dilan-Paurido,30,2023,OCT,1
Labit Proper,11,2023,OCT,1
Labit West,7,2023,OCT,2
Mabanogbog,2,2023,OCT,0
Macalong,2,2023,OCT,0
Nancalobasaan,16,2023,OCT,2
Nancamaliran East,42,2023,OCT,5
Nancamaliran West,22,2023,OCT,4
Nancayasan,127,2023,OCT,7
Oltama,2,2023,OCT,1
Palina East,10,2023,OCT,2
Palina West,6,2023,OCT,0
P.T. Orata,12,2023,OCT,3
Pinmaludpod,57,2023,OCT,6
Poblacion,108,2023,OCT,14
San Jose,22,2023,OCT,3
San Vicente,91,2023,OCT,4
Sta. Lucia,16,2023,OCT,1
Sto. Domingo,19,2023,OCT,2
Sugcong,3,2023,OCT,1
Tipuso,1,2023,OCT,0
Tulong,10,2023,OCT,0
BYPASS,145,2023,OCT,17
TOTAL,1001,2023,OCT,94
ANONAS,24,2024,OCT,1
BACTAD EAST,9,2024,OCT,2
BAYAOAS,26,2024,OCT,2
BOLAOEN,4,2024,OCT,0
CABARUAN,13,2024,OCT,0
CABULOAN,12,2024,OCT,2
CAMANANG,12,2024,OCT,1
CAMANTILES,37,2024,OCT,1
CASANTAAN,1,2024,OCT,0
CATABLAN,40,2024,OCT,1
CAYAMBANAN,31,2024,OCT,5
CONSOLACION,1,2024,OCT,0
DILAN-PAURIDO,24,2024,OCT,2
LABIT PROPER,8,2024,OCT,0
LABIT WEST,2,2024,OCT,1
MABANOGBOG,10,2024,OCT,0
MACALONG,0,2024,OCT,0
NANCALOBASAAN,20,2024,OCT,1
NANCAMALIRAN EAST,48,2024,OCT,3
NANCAMALIRAN WEST,14,2024,OCT,2
NANCAYASAN,137,2024,OCT,12
OLTAMA,2,2024,OCT,0
PALINA EAST,27,2024,OCT,5
PALINA WEST,20,2024,OCT,1
PT ORATA,9,2024,OCT,0
PINMALUDPOD,46,2024,OCT,5
POBLACION,99,2024,OCT,10
SAN JOSE,23,2024,OCT,3
SAN VICENTE,104,2024,OCT,8
STA. LUCIA,29,2024,OCT,1
STO. DOMINGO,21,2024,OCT,3
SUGCONG,3,2024,OCT,0
TIPUSO,1,2024,OCT,0
TULONG,10,2024,OCT,0
BYPASS-NANCAYASAN,107,2024,OCT,7
TOTAL,974,2024,OCT,79
ANONAS,30,2025,OCT,2
BACTAD EAST,10,2025,OCT,1
BAYAOAS,16,2025,OCT,0
BOLAOEN,1,2025,OCT,0
CABARUAN,5,2025,OCT,0
CABULOAN,30,2025,OCT,3
CAMANANG,13,2025,OCT,3
CAMANTILES,27,2025,OCT,3
CASANTAAN,1,2025,OCT,0
CATABLAN,21,2025,OCT,3
CAYAMBANAN,25,2025,OCT,1
CONSOLACION,1,2025,OCT,0
DILAN-PAURIDO,17,2025,OCT,3
LABIT PROPER,20,2025,OCT,2
LABIT WEST,1,2025,OCT,0
MABANOGBOG,14,2025,OCT,0
MACALONG,1,2025,OCT,0
NANCALOBASAAN,19,2025,OCT,0
NANCAMALIRAN EAST,44,2025,OCT,2
NANCAMALIRAN WEST,19,2025,OCT,1
NANCAYASAN,114,2025,OCT,12
OLTAMA,2,2025,OCT,0
PALINA EAST,17,2025,OCT,0
PALINA WEST,3,2025,OCT,0
PT ORATA,10,2025,OCT,2
PINMALUDPOD,50,2025,OCT,4
POBLACION,110,2025,OCT,8
SAN JOSE,15,2025,OCT,0
SAN VICENTE,103,2025,OCT,7
STA. LUCIA,13,2025,OCT,1
STO. DOMINGO,18,2025,OCT,0
SUGCONG,1,2025,OCT,0
TIPUSO,1,2025,OCT,0
TULONG,7,2025,OCT,0
BYPASS,114,2025,OCT,3
TOTAL,893,2025,OCT,61
Anonas,43,2022,NOV,3
Bactad East,14,2022,NOV,1
Bayaoas,22,2022,NOV,1
Bolaoen,1,2022,NOV,0
Cabaruan,1,2022,NOV,0
Cabuloan,8,2022,NOV,1
Camanang,11,2022,NOV,0
Camantiles,24,2022,NOV,2
Casantaan,2,2022,NOV,0
Catablan,20,2022,NOV,1
Cayambanan,30,2022,NOV,3
Consolacion,1,2022,NOV,0
Dilan-Paurido,9,2022,NOV,1
Labit Proper,10,2022,NOV,3
Labit West,4,2022,NOV,2
Mabanogbog,3,2022,NOV,0
Macalong,1,2022,NOV,0
Nancalobasaan,18,2022,NOV,3
Nancamaliran East,34,2022,NOV,6
Nancamaliran West,13,2022,NOV,0
Nancayasan,126,2022,NOV,12
Oltama,4,2022,NOV,1
Palina East,14,2022,NOV,2
Palina West,4,2022,NOV,1
P.T. Orata,12,2022,NOV,0
Pinmaludpod,49,2022,NOV,5
Poblacion,91,2022,NOV,9
San Jose,24,2022,NOV,0
San Vicente,85,2022,NOV,13
Sta. Lucia,9,2022,NOV,1
Sto. Domingo,5,2022,NOV,0
Sugcong,0,2022,NOV,0
Tipuso,1,2022,NOV,0
Tulong,8,2022,NOV,1
BYPASS,76,2022,NOV,8
TOTAL,777,2022,NOV,80
Anonas,41,2023,NOV,4
Bactad East,17,2023,NOV,1
Bayaoas,24,2023,NOV,1
Bolaoen,1,2023,NOV,0
Cabaruan,1,2023,NOV,0
Cabuloan,22,2023,NOV,2
Camanang,11,2023,NOV,0
Camantiles,29,2023,NOV,4
Casantaan,2,2023,NOV,0
Catablan,46,2023,NOV,5
Cayambanan,44,2023,NOV,2
Consolacion,2,2023,NOV,0
Dilan-Paurido,30,2023,NOV,7
Labit Proper,11,2023,NOV,0
Labit West,7,2023,NOV,1
Mabanogbog,2,2023,NOV,0
Macalong,2,2023,NOV,1
Nancalobasaan,16,2023,NOV,0
Nancamaliran East,42,2023,NOV,5
Nancamaliran West,22,2023,NOV,2
Nancayasan,127,2023,NOV,9
Oltama,2,2023,NOV,0
Palina East,10,2023,NOV,2
Palina West,6,2023,NOV,0
P.T. Orata,12,2023,NOV,1
Pinmaludpod,57,2023,NOV,1
Poblacion,108,2023,NOV,4
San Jose,22,2023,NOV,1
San Vicente,91,2023,NOV,8
Sta. Lucia,16,2023,NOV,1
Sto. Domingo,19,2023,NOV,0
Sugcong,3,2023,NOV,0
Tipuso,1,2023,NOV,0
Tulong,10,2023,NOV,1
BYPASS,145,2023,NOV,13
TOTAL,1001,2023,NOV,76
ANONAS,24,2024,NOV,2
BACTAD EAST,9,2024,NOV,3
BAYAOAS,26,2024,NOV,1
BOLAOEN,4,2024,NOV,0
CABARUAN,13,2024,NOV,1
CABULOAN,12,2024,NOV,0
